"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Rep_ev_freq","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","DL_I2","Av_exc","Bias_type"
"3724",5164,0,100,0.04,20,0.1,-0.00056123895077009,-0.000561144124198914,-0.000562313291492003,-0.0020273297363272,0.00702193507273039,0.00702240129982967,0.00702247283647642,0.0238762358975896,0.9767,0.9768,0.9768,0.9715,0.9716,0.9591,0.9591,0.9768,0.9599,0.9768,-0.0021,-0.0022,-0.0022,-7e-04,-8e-04,9e-04,9e-04,-0.0022,0.0065,-0.0022,0.0837992978240397,0.0838024995219787,0.0838020804990613,0.15451379641656,0.0889019201909426,2.1782,"None"
"3725",5165,0,100,0.04,20,0.3,0.00010041361233763,6.98501719158257e-05,5.64881032332798e-05,0.00037425286021429,0.00394789379032458,0.00396652158659497,0.00397156749579593,0.0174756105854919,0.9439,0.95,0.9515,0.9495,0.9462,0.9499,0.9496,0.9519,0.9328,0.9508,0.0019,0.002,0.0013,7e-04,0.0014,0.0017,0.0016,5e-04,-4e-04,8e-04,0.0628353287194757,0.0630234995937248,0.0629834374966018,0.132201430560008,7.60504415741112,0.0055,"None"
"3726",5166,0,100,0.04,20,0.5,0.000804025107515798,0.000792673049007984,0.000800171510702579,0.00133231993037496,0.00338074279873705,0.00340292864108054,0.00340780933734748,0.0174941842114609,0.9374,0.949,0.9515,0.9498,0.9472,0.9515,0.9509,0.9518,0.9375,0.9489,-0.005,-0.0042,-0.0043,-0.004,-0.0042,-0.0051,-0.0053,-0.004,-0.0059,-0.0043,0.0581415031264424,0.0583738795514083,0.0583321572940293,0.132265485108244,10.9586143000032,0,"None"
"3727",5167,0,100,0.04,100,0.1,0.000386456729532665,0.000386710806362025,0.000397797184243628,-0.00318343681264916,0.0041911733565069,0.00419538812168227,0.00421694045658163,0.0482250248677464,0.9662,0.9664,0.9679,0.9664,0.9638,0.9634,0.9636,0.9684,0.8985,0.968,4e-04,4e-04,7e-04,4e-04,2e-04,2e-04,2e-04,4e-04,-0.0015,2e-04,0.0647413558092376,0.0649400025744939,0.0647739001624014,0.219589873557646,2.47945723791068,0.0026,"None"
"3728",5168,0,100,0.04,100,0.3,1.29582435039767e-05,1.18441760256852e-05,1.1351741370246e-05,0.00436023558506274,0.00226980714966278,0.00229486857024912,0.00229913707542894,0.33072611087458,0.9304,0.9469,0.9496,0.9504,0.9466,0.9523,0.9524,0.9509,0.8865,0.9498,0.0038,0.0051,0.0048,0.005,0.0044,0.0057,0.0056,0.0053,-3e-04,0.0056,0.0476448736502178,0.0479517140804709,0.0479071804613734,0.575100141920993,14.9797753360587,0,"None"
"3729",5169,0,100,0.04,100,0.5,0.00050160647561895,0.000505526595539692,0.000505611204250245,-0.0344594622872382,0.00199637918695167,0.00201521765367453,0.00201646725518028,10.8850857641692,0.9231,0.9481,0.9498,0.9509,0.9495,0.9524,0.9524,0.9505,0.7075,0.9494,-0.0043,-5e-04,-0.0012,-3e-04,-9.99999999999999e-05,-0.001,-0.001,-0.0011,0.0037,-0.001,0.0446802776470374,0.0449044903524781,0.0448905737643998,3.29924033806403,18.3213077854887,0,"None"
"3730",5170,0,100,0.04,250,0.1,0.000116297392697092,0.000191001476475918,0.000189213929528854,-0.000938557025291433,0.00117833503039877,0.00118375096414831,0.0011846046822033,0.00752257708700583,0.8912,0.9464,0.9478,0.9519,0.9511,0.952,0.9522,0.9498,0.9423,0.944,4e-04,0.0026,0.002,0.0027,0.0027,0.001,0.001,0.0028,-0.0037,0.0018,0.0343284044087421,0.0344192874567018,0.0344068723639751,0.0867320496849946,31.2146178103162,0,"None"
"3731",5171,0,100,0.04,250,0.3,-9.84531305676353e-05,-6.1660459325593e-05,-6.12287380584098e-05,-0.000435420709186498,0.000780379340080683,0.000761591047382767,0.000761588280488562,0.00528157160161093,0.7995,0.9463,0.9465,0.9501,0.95,0.9498,0.9498,0.9466,0.9426,0.9363,9.99999999999999e-05,0.0017,0.0013,0.0017,0.002,4e-04,4e-04,0.0026,4e-04,0.0029,0.0279364939072702,0.0275982009848461,0.0275982501566982,0.0726767514507706,53.6835242287986,0,"None"
"3732",5172,0,100,0.04,250,0.5,-0.000236357911751726,-0.00025417147711834,-0.000254573592922415,6.16878803917604e-05,0.000724528256750249,0.000700611061816433,0.000700611573814459,0.00510107820259319,0.7738,0.9479,0.9483,0.9523,0.9524,0.9516,0.9516,0.9498,0.9374,0.9392,-0.0024,-0.0015,-0.0017,-5e-04,-6e-04,-0.0016,-0.0016,-4e-04,-0.0026,0.001,0.0269173707143253,0.026469167493199,0.0264691616854158,0.0714253775324581,58.1322394157275,0,"None"
"3733",5173,0,100,3.04,4.7,0.1,-0.00109180900897257,-0.00118696490637074,-0.00124002567406575,-0.00102459676461185,0.0629486642346189,0.0306228955820025,0.0302443193401845,0.100525073052429,0.3157,0.9546,0.9309,0.967,0.9802,0.9598,0.9605,0.9675,0.715,0.7488,0.0055,0.0022,0.0029,6e-04,-2e-04,0.0024,0.0029,5e-04,0.0024,6e-04,0.250905893841622,0.173913214728318,0.174998711855912,0.317071090863807,87.7446161504211,1.8067,"None"
"3734",5174,0,100,3.04,4.7,0.3,-0.00362536574846154,-0.000738319299647186,-0.000757777899818706,-0.00437335835244698,0.0676592723415418,0.0310246911277851,0.0305687540033861,0.0981867612963335,0.1983,0.9512,0.9221,0.9692,0.9822,0.9582,0.9581,0.9693,0.721,0.7458,0.0097,-6e-04,0.0011,-0.001,-0.0018,-4e-04,-3e-04,-9e-04,0.0078,0.0046,0.260101700021678,0.174846323666615,0.176145532833707,0.313332814716768,95.1910947819095,0.1392,"None"
"3735",5175,0,100,3.04,4.7,0.5,-0.00267151920692101,-0.000405739118814696,-0.000574258277973341,-0.00363610272021211,0.0707591234894661,0.0324019656463996,0.0319833538689196,0.102365354092788,0.1738,0.9476,0.9156,0.9644,0.9797,0.9531,0.9521,0.9663,0.7183,0.7365,0.0088,-6e-04,2e-04,0.003,0.0015,7e-04,3e-04,0.0025,0.0037,0.0029,0.266005756292662,0.178846925382075,0.180014003695045,0.319941196295045,96.1453238953411,0.037,"None"
"3736",5176,0,100,3.04,20,0.1,0.00074616976150748,0.00163836165997234,0.0016098624507654,-0.00377560152378605,0.0239449794765761,0.0287027523812984,0.0284986940396752,0.0771577085715444,0.8072,0.9488,0.9447,0.9739,0.9764,0.9601,0.96,0.9714,0.9673,0.9514,-0.0032,-0.0024,-0.0023,-0.0025,-0.002,-0.0035,-0.0034,-0.0022,0.0025,-0.003,0.154747592514397,0.168816327047453,0.169419415788788,0.277760991720454,57.2342165028116,1.3133,"None"
"3737",5177,0,100,3.04,20,0.3,-0.00153735268731098,0.000186914394521124,5.53275064873819e-05,-0.00684643450489687,0.0237456523106058,0.0332128048864013,0.0322187925000867,0.0715172942141682,0.6035,0.9458,0.9259,0.9762,0.9872,0.9583,0.9573,0.9746,0.9534,0.9523,0.0015,0.0036,0.0051,0.0012,0.0012,0.0021,0.0023,0.0016,0.003,0.0037,0.154096279720384,0.179504907008465,0.182252823184076,0.267352890961682,81.8714281446016,0.0024,"None"
"3738",5178,0,100,3.04,20,0.5,-0.000208036970865741,0.000585271992083294,0.000558299939046795,-0.00180668443347897,0.0240779598576207,0.0333887409234773,0.0324782452749688,0.0830094306184715,0.5516,0.9478,0.9227,0.9752,0.9859,0.9593,0.9589,0.9735,0.9494,0.9549,-0.0026,-0.0012,0.0015,0.001,-1e-04,-0.0011,-0.0019,0.0015,0.0028,9e-04,0.155178363861398,0.180225363626534,0.182734062380083,0.288122314228914,85.4978048246768,0,"None"
"3739",5179,0,100,3.04,100,0.1,-0.00188329976956263,-0.00292814067126869,-0.00282449487593497,0.00288205991459365,0.0189340046330973,0.0293314286703245,0.0281644720903516,0.090657905781139,0.7254,0.948,0.931,0.9791,0.9887,0.9652,0.964,0.9778,0.9445,0.9677,4e-04,-0.0012,-6e-04,0.0011,0.0011,-0.0016,-0.0014,4e-04,3e-04,-1e-04,0.137594880174301,0.16780736053604,0.171247736455867,0.301095774427881,74.2070683951319,0.0012,"None"
"3740",5180,0,100,3.04,100,0.3,0.00056511959812841,-2.81309583872772e-05,4.85324998745633e-05,0.00337661791123619,0.019131709598664,0.0316620011476374,0.0307455040224311,0.275092194713224,0.5081,0.9484,0.912,0.9762,0.991,0.9582,0.9565,0.9745,0.8872,0.9678,-0.0025,6e-04,0.004,0,-0.0014,8e-04,0.0015,3e-04,0.0012,8e-04,0.138323185218027,0.175352720323011,0.177947090094145,0.524507677727509,89.9360140978428,0,"None"
"3741",5181,0,100,3.04,100,0.5,0.000174911303706857,0.000881719454758411,0.000850259032286879,-0.01255528953695,0.0189458671018391,0.0311347485653038,0.0305267185870348,0.688958301227023,0.4679,0.9516,0.9192,0.9753,0.989,0.9597,0.9588,0.9738,0.8134,0.9703,-0.0021,-0.0026,-0.0026,-0.0017,-0.0012,-0.0013,-0.0014,-0.0018,0.0046,-0.0017,0.137650758374239,0.174725637934071,0.176457033990123,0.829981658162971,92.0138977515659,0,"None"
"3742",5182,0,100,3.04,250,0.1,0.0010742633370922,0.000683902420728617,0.000621916413886172,0.00196557385482478,0.0184658363199809,0.0305240589648326,0.0296721934380497,0.0630181939578432,0.3485,0.9494,0.9027,0.978,0.9925,0.9567,0.9548,0.9766,0.9602,0.9581,-0.0033,-6e-04,1e-04,-0.002,-1e-04,-9e-04,-0.0012,-0.0016,2e-04,-0.0013,0.135891607287414,0.172263676192741,0.174718756596715,0.25103910560014,95.3200047666368,0,"None"
"3743",5183,0,100,3.04,250,0.3,0.00166197963790172,0.0016297306886715,0.00164928456975897,0.00146394721199955,0.0205152398969843,0.0307206227845471,0.0305217292957813,0.107323414094978,0.211,0.948,0.9067,0.9737,0.9895,0.9537,0.9533,0.9717,0.9481,0.9567,-0.0128,-0.002,-0.0021,-7e-04,-0.0011,-0.0023,-0.0021,-0.0011,0.0017,-0.0027,0.143228939720941,0.174705642044914,0.175274181973034,0.32761563478252,98.2330832280632,0,"None"
"3744",5184,0,100,3.04,250,0.5,-0.00316699504429822,-0.00284735156805189,-0.00285530106598169,-0.00405583831736207,0.0213319952456012,0.0309323096738186,0.0308044674586438,0.121405186161783,0.1912,0.9487,0.9077,0.9717,0.9884,0.9518,0.9517,0.9697,0.9465,0.9529,0.0182,-0.0017,-9e-04,-7e-04,-0.002,-0.0012,-0.0011,-7e-04,0.0041,-1e-04,0.14602772955083,0.175497563099696,0.175861579068214,0.348426285496616,98.5871987573282,0,"None"
"3745",5185,0.22314355131421,3,0,4.7,0.1,0.000470153812996532,-0.000264429109063047,-0.000534033575500914,-1.5201094437392,0.116785129033141,0.124984543408346,0.123246998941873,22418.4884968326,0.962005012531328,0.97071507371377,0.970325814536341,0.95719298245614,0.956674355631331,0.949974937343358,0.949954869120449,0.970325814536341,0.689475963620615,0.965614035087719,0.00270676691729323,0.00120349012135192,0.000200501253132832,0.000300751879699248,0.000802326747567947,-0.00110275689223058,-0.00110319927790593,0.000401002506265664,0.0064963187527068,0.00210526315789474,0.341755200286054,0.351082711834499,0.353549161420456,149.727837175614,11.3932562129671,0.0789,"None"
"3746",5186,0.22314355131421,3,0,4.7,0.3,0.00344703239862473,0.00390775968398599,0.00403636595236306,0.0108889649038862,0.0507885141739246,0.0581777691034044,0.0575448526731836,0.671503645563197,0.9538,0.964346519779669,0.9655,0.9554,0.953430145217827,0.9475,0.947421131697546,0.9658,0.694224008036163,0.9589,-6e-04,-0.000400600901352028,-3e-04,-6e-04,-0.000100150225338007,5e-04,0.000500751126690035,-6e-04,0.00502260170768458,-0.0011,0.22534797605614,0.239863114826911,0.241181102262225,0.819421882322312,14.2964346736275,0.0045,"None"
