"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","DL_I2","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","Bias_type"
"514",994,-0.12,30,0.005,60,-0.0521589535903229,-0.0521450069585079,-0.0521449713173833,-0.0535624350418835,0.00526595322645452,0.00523454553024919,0.00523601319842918,0.0886967046413759,0.7758,0.8254,0.8226,0.8176,0.8209,0.8237,0.8238,0.823,0.927,0.8166,0.221,0.1724,0.175,0.1796,0.1765,0.1733,0.1732,0.1746,0.0298,0.1808,11.5938287294452,0.0504544482870664,0.0501713751199486,0.0501567079170997,0.292978418708858,"Method"
"515",995,-0.12,50,0.005,60,-0.0520613784375616,-0.0520410742811531,-0.0520435545441075,-0.0533484454323974,0.00425431834327829,0.00423495653441659,0.00423637121491561,0.0516825657837327,0.6794,0.7379,0.7337,0.7303,0.7353,0.7364,0.7366,0.7341,0.9297,0.7269,0.3196,0.2611,0.2653,0.2687,0.2637,0.2626,0.2624,0.2649,0.0383,0.2721,12.8420385553237,0.0392948549688378,0.0390895439289661,0.0390747463927876,0.221000889801395,"Method"
"516",996,-0.12,100,0.005,60,-0.0524204359848505,-0.0524288748319427,-0.0524295292704783,-0.0511626358566337,0.00353144779612789,0.00352392849834065,0.00352470935664189,0.0275492523627345,0.463,0.5286,0.5212,0.52,0.5281,0.5247,0.5246,0.5217,0.9192,0.5158,0.5368,0.4712,0.4786,0.4798,0.4717,0.4751,0.4752,0.4781,0.048,0.484,13.4688726453437,0.0279932857966165,0.0278555454130587,0.0278427567619937,0.157905447873032,"Method"
"517",997,-0.12,3,0.022,60,-0.0542774775362031,-0.0542323632941079,-0.0542284852777584,-0.0650852039757417,0.0334961406646192,0.0330207276914436,0.0330242975794563,12.3757361110767,0.8871,0.9246,0.9246,0.917,0.917,0.9465,0.9465,0.9243,0.6978,0.9094,0.0673,0.0456,0.0458,0.0472,0.0476,0.0213,0.0213,0.0463,0.0116,0.054,0,0.174794597777126,0.173454828764432,0.173443324234897,3.51749019913777,"Method"
"518",998,-0.12,5,0.022,60,-0.0528984979674968,-0.0525841230673918,-0.0525885016821239,-0.0570408653458144,0.0212775788665894,0.0209231712982932,0.0209264352028991,1.36827392523986,0.8728,0.9226,0.9224,0.9151,0.915,0.9404,0.9404,0.9218,0.8513,0.9068,0.0856,0.0524,0.0526,0.0551,0.0552,0.0378,0.0378,0.053,0.0185,0.0626,15.3498054507258,0.135945488696616,0.13476906530738,0.134758663132488,1.16839923853045,"Method"
"519",999,-0.12,10,0.022,60,-0.0529636244219522,-0.0529918326691024,-0.0529930180055718,-0.0412636983511792,0.0121557857314321,0.0119976002281549,0.0119997672545453,0.408338192095441,0.845,0.9041,0.9035,0.9009,0.9025,0.9192,0.9191,0.9033,0.9051,0.8916,0.1278,0.0825,0.0827,0.0853,0.0841,0.0688,0.0689,0.0829,0.0151,0.0922,23.9379499529636,0.0967035437668144,0.0958771429479438,0.0958664953829982,0.637711664398979,"Method"
"520",1000,-0.12,30,0.022,60,-0.053085785798508,-0.0530893576529989,-0.0530891337812967,-0.052594578958797,0.00603706984740571,0.00598334656612703,0.00598428749661221,0.110956359762685,0.747,0.8296,0.828,0.8346,0.836,0.8417,0.8417,0.8271,0.9222,0.8185,0.2424,0.1648,0.1662,0.1592,0.158,0.1533,0.1533,0.1669,0.0246,0.1749,27.8881039741702,0.0567387973319218,0.0562685345976094,0.0562599607930705,0.32893918910012,"Method"
"521",1001,-0.12,50,0.022,60,-0.0525237332290519,-0.0525657651862603,-0.0525674170368349,-0.048956814410004,0.00466448611073317,0.004628442135119,0.00462924885273859,0.0651431794826935,0.6582,0.767,0.7655,0.7712,0.7728,0.7762,0.7763,0.7653,0.923,0.7562,0.3376,0.2316,0.2335,0.2274,0.2256,0.2226,0.2225,0.2331,0.0284,0.242,29.1484278075262,0.0436570057588898,0.0431984042416727,0.0431910756106303,0.250504860380044,"Method"
"522",1002,-0.12,100,0.022,60,-0.0525404619644375,-0.0525504219242608,-0.0525512311204298,-0.0512682208792614,0.00372250959776212,0.00370466211446521,0.00370507089208637,0.0333268874236531,0.4652,0.591,0.5897,0.5962,0.6004,0.5946,0.5951,0.5888,0.9214,0.5809,0.5336,0.4086,0.4099,0.4034,0.3992,0.405,0.4045,0.4108,0.0468,0.4187,29.3355245489757,0.0310178281781962,0.0307169880220841,0.0307117174870844,0.175218512447283,"Method"
"523",1003,-0.12,3,1.676,60,-0.0619963210140698,-0.0615260688270921,-0.0615271457338661,-0.218019328646134,0.589473117169366,0.572834067267069,0.572849829042619,237.699881712524,0.3035,0.8179,0.8182,0.9065,0.9061,0.9504,0.9504,0.8161,0.6925,0.753,0.0677,0.0171,0.0182,0.0081,0.0081,0.0056,0.0056,0.0181,-0.0043,0.022,94.6127220710606,0.765302647430611,0.754401187363602,0.754390827538233,15.4167479351694,"Method"
"524",1004,-0.12,5,1.676,60,-0.0533234305427184,-0.0543485691572659,-0.0543510897949211,-0.10316967971816,0.360185671077702,0.34978871163862,0.349792584569935,25.7575342133322,0.2891,0.8784,0.8779,0.9472,0.9479,0.9501,0.9502,0.8789,0.8463,0.8403,0.0621,0.0206,0.0199,0.009,0.0093,0.0093,0.0092,0.0195,0.0019,0.0245,95.5636510875578,0.597811024183162,0.588959447611746,0.588956391961528,5.07439308460004,"Method"
"525",1005,-0.12,10,1.676,60,-0.0578472254473033,-0.0590568243505738,-0.0590541320846431,0.0042453041129788,0.183697901438918,0.178144535431705,0.178146288438619,7.72937414592741,0.2891,0.9153,0.915,0.9477,0.9479,0.9468,0.9468,0.9161,0.9041,0.8971,0.1055,0.0215,0.0218,0.0141,0.0143,0.016,0.016,0.0229,-0.0013,0.0261,95.9820312415998,0.424699466576846,0.417943017119445,0.417940539262185,2.7803109783321,"Method"
"526",1006,-0.12,30,1.676,60,-0.0536720454604535,-0.0531102954244057,-0.0531104093912545,-0.0684938139735106,0.0629807903642581,0.060848777215145,0.0608492678515076,2.05076842708333,0.2794,0.9344,0.9347,0.9446,0.9454,0.9441,0.9441,0.9359,0.9298,0.9264,0.1648,0.0298,0.0295,0.0252,0.0258,0.0261,0.0261,0.0281,0.0046,0.0302,96.2244325429251,0.245165479853099,0.240903208159151,0.240902214856546,1.43048301377401,"Method"
"527",1007,-0.12,50,1.676,60,-0.0479552668927093,-0.0488445575494784,-0.0488447812935938,-0.0248949119640572,0.0390060685827177,0.0377643026246068,0.037764411094957,1.18148244167538,0.2829,0.9334,0.933,0.9426,0.9423,0.9409,0.9409,0.9353,0.9323,0.9278,0.1875,0.0346,0.0346,0.0286,0.0289,0.0309,0.0309,0.0327,0.0019,0.0356,96.26000634831,0.191598622028351,0.188101399912395,0.188101169659854,1.08672939737176,"Method"
"528",1008,-0.12,100,1.676,60,-0.0501529694694064,-0.050021636672594,-0.0500215274529405,-0.0538240595613602,0.0200524298554386,0.0193531400730006,0.0193531974123308,0.577990369305416,0.2667,0.937,0.9369,0.9413,0.9401,0.9399,0.9399,0.937,0.9336,0.9295,0.2739,0.0452,0.0453,0.0425,0.0433,0.0429,0.0429,0.0454,0.0104,0.0497,96.2816162569904,0.132434373918477,0.129818062982596,0.129817800026483,0.758387008725262,"Method"
"529",1009,0,3,0,60,-0.0534676606155634,-0.0537208416194485,-0.0537133905766081,-0.0436269726698367,0.0268045010085254,0.0264705047432937,0.0264716753688311,9.07117505436879,0.9188,0.9426,0.9427,0.931,0.9308,0.9439,0.9439,0.9418,0.6873,0.9306,0.0546,0.0394,0.0397,0.0462,0.0464,0.0249,0.0249,0.0402,0.0221,0.0468,0,0.154751753099385,0.153586802597714,0.153580384855792,3.01167374718783,"Method"
"530",1010,0,5,0,60,-0.051030061876625,-0.051021260531035,-0.0510266709347972,-0.0487872783224364,0.0168877835854566,0.0167232635741097,0.0167244567416096,0.99165509991463,0.9104,0.9385,0.9382,0.929,0.9293,0.9358,0.9358,0.9375,0.8475,0.9265,0.066,0.0471,0.047,0.0536,0.0535,0.039,0.039,0.0473,0.0129,0.0545,0,0.119520478934837,0.118836643379483,0.11883394590185,0.994672729480604,"Method"
"531",1011,0,10,0,60,-0.0536918316178454,-0.0536783589941061,-0.053678620188118,-0.0587069871162851,0.0101949026915748,0.0101085652040275,0.0101120233513309,0.313355234371904,0.8789,0.9094,0.9084,0.8997,0.9014,0.9048,0.9047,0.9078,0.9022,0.9003,0.1071,0.0812,0.082,0.0887,0.0878,0.081,0.0811,0.0824,0.0244,0.0887,0.199109980190551,0.085515034884018,0.0850373577979279,0.0850171851563235,0.5567222988236,"Method"
"532",1012,0,30,0,60,-0.0526978085749528,-0.052694253625166,-0.0526941642295821,-0.050257323526551,0.00517283228381967,0.00514607940608864,0.00514782959593445,0.0841139995130057,0.7804,0.8197,0.8167,0.8089,0.8132,0.8126,0.8125,0.8162,0.9283,0.8112,0.2174,0.1785,0.1815,0.1885,0.1844,0.1852,0.1853,0.1818,0.0281,0.1868,6.20202766583765,0.0489490843275229,0.0486969382123703,0.0486788660937756,0.285650766813274,"Method"
"533",1013,0,50,0,60,-0.0524785529227953,-0.0525042108490629,-0.0525049603591579,-0.0491429072371067,0.004234562631885,0.00422358984744127,0.00422508734495341,0.0500193973895399,0.6772,0.7207,0.7166,0.7092,0.7144,0.7155,0.7152,0.716,0.9232,0.7116,0.321,0.2781,0.2822,0.2892,0.2842,0.2833,0.2836,0.2828,0.0394,0.2872,6.48666839811067,0.0384800232098812,0.0383205340381571,0.0383020155474606,0.218195171741086,"Method"
"534",1014,0,100,0,60,-0.0523723461005321,-0.0523822759462334,-0.0523822787346756,-0.0512602787936237,0.00346014504349711,0.00345538020601236,0.00345604874342188,0.0252256829085799,0.459,0.5054,0.4979,0.4921,0.5011,0.4967,0.4966,0.4978,0.9208,0.494,0.541,0.4946,0.5021,0.5079,0.4989,0.5033,0.5034,0.5022,0.0516,0.506,7.20200537393046,0.0267834677149445,0.0266873910240137,0.0266748669642002,0.15033405056492,"Method"
"535",1015,0,3,0.005,60,-0.0542865752830902,-0.0543543092000606,-0.054363000717424,-0.0628328606199096,0.0282334066807577,0.0279305241839978,0.0279285784628619,17.1681167674845,0.91,0.9373,0.9371,0.9272,0.9273,0.9437,0.9437,0.9361,0.6918,0.9245,0.057,0.0407,0.0409,0.046,0.0461,0.0253,0.0253,0.0417,0.0142,0.0489,0,0.159024851250119,0.158037148132578,0.158046294225755,4.14317334752598,"Method"
"536",1016,0,5,0.005,60,-0.0527965121886306,-0.0528373349468104,-0.0528354547651599,-0.0552192082672458,0.0183936598667476,0.0181844316633833,0.0181867517567412,1.11440171273148,0.8989,0.9274,0.9277,0.918,0.918,0.9378,0.9378,0.927,0.84,0.9181,0.0689,0.051,0.0515,0.0566,0.0562,0.0406,0.0406,0.0518,0.0118,0.0573,0,0.124930976712574,0.124083464438718,0.124073313479627,1.05425978683607,"Method"
"537",1017,0,10,0.005,60,-0.0515094655564703,-0.0514812167681927,-0.0514831898036097,-0.0549258350469705,0.0104186465351368,0.0103062180347828,0.0103071404922706,0.328412439833399,0.8726,0.9112,0.9099,0.9019,0.9026,0.9138,0.9138,0.9093,0.9045,0.9002,0.1074,0.078,0.0787,0.0843,0.084,0.0736,0.0736,0.0787,0.0201,0.0868,7.63157060583513,0.0881260353870234,0.0875064991795238,0.0875023886625462,0.570463088456494,"Method"
"538",1018,0,30,0.005,60,-0.0525752898100443,-0.0525654303858294,-0.0525651016087604,-0.0504250437207648,0.00536129439625022,0.00532959028749054,0.00533090864835146,0.0913900040619069,0.7711,0.8195,0.8163,0.8102,0.8135,0.8201,0.8205,0.8157,0.9234,0.8094,0.2227,0.1761,0.1793,0.1852,0.1821,0.1753,0.1749,0.1799,0.0228,0.1858,11.8854232474693,0.0509646253488022,0.0506761832497972,0.0506628314259268,0.298087578822283,"Method"
"539",1019,0,50,0.005,60,-0.0525072063744055,-0.0525038297187226,-0.0525050440657764,-0.0514399167414501,0.00432261075377675,0.0043054516150372,0.00430668858304924,0.0539045134693209,0.6717,0.7325,0.7295,0.7257,0.7315,0.7327,0.7326,0.7287,0.923,0.7226,0.3265,0.2665,0.2693,0.2731,0.2673,0.2663,0.2664,0.2701,0.0338,0.2762,12.6025415799755,0.0395696930565958,0.0393708513635892,0.0393567576833016,0.226414608169245,"Method"
"540",1020,0,100,0.005,60,-0.0526989668509532,-0.0526788324804926,-0.0526818116919976,-0.0554611158320903,0.00354600646269368,0.00353588423635394,0.00353692512176419,0.0275926459245119,0.4522,0.5198,0.5144,0.515,0.5219,0.5186,0.519,0.5143,0.9179,0.5095,0.5476,0.4802,0.4854,0.4848,0.4781,0.4814,0.481,0.4855,0.0543,0.4903,13.2580333939418,0.0277290866376877,0.0275976086176544,0.0275844328370122,0.15658595873008,"Method"
"541",1021,0,3,0.022,60,-0.0534282232823889,-0.0532533142616055,-0.0532646154638989,-0.0192659182133945,0.0345579433273356,0.0340194099402791,0.0340225743473147,13.6871619876736,0.8786,0.9227,0.9222,0.9135,0.914,0.945,0.945,0.9217,0.6905,0.9052,0.0668,0.0429,0.0432,0.0481,0.0476,0.022,0.022,0.0439,0.0101,0.0518,0,0.178063300368483,0.176602870713338,0.176597319123893,3.69975129272656,"Method"
"542",1022,0,5,0.022,60,-0.0522298447416857,-0.0522260857081856,-0.0522292958346863,-0.0469172627401096,0.0216222937813128,0.0213470086880608,0.0213492195803072,1.40616803742885,0.8706,0.9195,0.9192,0.9135,0.9137,0.9411,0.9411,0.9186,0.8422,0.9031,0.0814,0.0509,0.0508,0.0539,0.0531,0.0351,0.0349,0.051,0.0172,0.0617,14.1825921153305,0.137463546885145,0.136466781874475,0.13645990909546,1.18495030216785,"Method"
"543",1023,0,10,0.022,60,-0.0525210031535713,-0.0525280036631286,-0.0525313070230268,-0.0538785627668262,0.0122666674968972,0.0121117119742503,0.0121141726735494,0.403732863978187,0.8434,0.9052,0.9042,0.9039,0.9032,0.9195,0.9194,0.9029,0.9041,0.8921,0.1278,0.0792,0.0804,0.0789,0.079,0.0673,0.0674,0.0813,0.0165,0.0895,24.1013429929598,0.0975149354760788,0.0967241955924329,0.0967132677094086,0.633142994478747,"Method"
"544",1024,0,30,0.022,60,-0.0530479357960793,-0.0530326676188152,-0.0530357106520888,-0.0553454831302787,0.00594401328778934,0.00588446252047748,0.00588560357589449,0.110145744461278,0.7495,0.8364,0.835,0.8388,0.8402,0.8456,0.8455,0.8342,0.9262,0.8264,0.2395,0.158,0.1592,0.1556,0.1542,0.149,0.1491,0.1602,0.0218,0.1678,27.9596960613782,0.0559485729920467,0.0554357671900624,0.0554283854744245,0.327251174622007,"Method"
"545",1025,0,50,0.022,60,-0.0525364352751365,-0.0525473861573994,-0.0525467780009191,-0.0514584694636612,0.00469181365470173,0.00466050809294077,0.0046611424911742,0.0638922666060115,0.6547,0.7643,0.7624,0.7679,0.7711,0.7721,0.772,0.7598,0.9284,0.7523,0.3409,0.2343,0.2362,0.2307,0.2275,0.2267,0.2268,0.2388,0.032,0.2463,28.7681549019594,0.0439537235767887,0.0435909237084889,0.043582912339479,0.247488217029065,"Method"
"546",1026,0,100,0.022,60,-0.0524682503131113,-0.0524816243586459,-0.0524801484195126,-0.051841825611144,0.00368483279622445,0.00366972020204854,0.00366986466120022,0.0329149572320157,0.4689,0.5977,0.5944,0.6037,0.6061,0.5998,0.6,0.5973,0.9216,0.5914,0.5303,0.4019,0.4052,0.3959,0.3935,0.3998,0.3996,0.4023,0.0436,0.4082,29.6986268584645,0.0305288176347491,0.0302620267347109,0.0302570794329543,0.173868931640642,"Method"
"547",1027,0,3,1.676,60,-0.0474874715007584,-0.0485530336314916,-0.0485596466453461,0.260871526436479,0.596052031517734,0.580661607764973,0.580665056239228,200.809136255789,0.2896,0.8197,0.8179,0.9041,0.904,0.9461,0.9461,0.8206,0.6964,0.7522,0.0442,0.0095,0.0095,0.0033,0.0032,0.0031,0.0031,0.0106,-0.004,0.019,94.6320416224564,0.770620760947899,0.760503026583229,0.760501181389511,14.1690210818647,"Method"
"548",1028,0,5,1.676,60,-0.0576908049752889,-0.0579175418276829,-0.0579166671415899,-0.0437223945164831,0.371190452778202,0.361789871798673,0.361801191165547,25.2746528413812,0.2801,0.8722,0.8719,0.9429,0.9435,0.9466,0.9466,0.8753,0.846,0.8316,0.0695,0.02,0.0197,0.0063,0.0061,0.0078,0.0078,0.0185,0.0064,0.0266,95.5607984246572,0.60654679432083,0.598734247477684,0.598724709090112,5.02745151348782,"Method"
"549",1029,0,10,1.676,60,-0.0588885912091966,-0.0597871807893059,-0.0597887739366136,-0.0196719476075782,0.183915870487122,0.177697749421154,0.177699139673228,7.72093707228728,0.2859,0.9203,0.9209,0.951,0.9528,0.9523,0.9523,0.9207,0.8988,0.9018,0.1007,0.0217,0.0209,0.0136,0.0134,0.0129,0.0129,0.0199,-4e-04,0.027,96.0219547432997,0.424812959921904,0.417303074958742,0.41730163730816,2.77872672621589,"Method"
"550",1030,0,30,1.676,60,-0.0526500041895996,-0.0531654365762949,-0.0531646701254207,-0.0371497856751485,0.0624948861077766,0.0601079144185473,0.0601078195242065,2.03037887203662,0.2816,0.9359,0.9356,0.9464,0.947,0.9468,0.9468,0.9352,0.9245,0.9255,0.1656,0.0241,0.024,0.0196,0.0196,0.0206,0.0206,0.0232,0.0059,0.0273,96.2091862711889,0.244394836382066,0.239347166436684,0.239347194427149,1.42450050390636,"Method"
"551",1031,0,50,1.676,60,-0.0506976238390353,-0.0507657299419593,-0.0507663998134063,-0.051485996978185,0.038902260478133,0.0374325935822913,0.0374329075995968,1.20880398439661,0.2764,0.9362,0.9369,0.9409,0.9411,0.9419,0.9419,0.935,0.9254,0.9294,0.1998,0.0338,0.0329,0.0299,0.0297,0.0309,0.0309,0.0336,0.01,0.0364,96.2695732597957,0.190619109691832,0.186706095685703,0.186705436818977,1.09830496852748,"Method"
"552",1032,0,100,1.676,60,-0.0527426155758554,-0.0524899137452499,-0.0524899380166786,-0.0596917029944237,0.0210507575586731,0.0201863191192487,0.0201863132067712,0.592689960842658,0.2634,0.9314,0.9314,0.9334,0.9329,0.9344,0.9345,0.9307,0.9303,0.9238,0.2868,0.047,0.047,0.046,0.0461,0.0452,0.0451,0.0463,0.0093,0.0512,96.2773937815356,0.135169527412819,0.132033567323111,0.132033599365468,0.767584379735729,"Method"
"553",1033,0.12,3,0,60,-0.051761910417713,-0.0517373601937548,-0.0517360893657458,-0.0627318102147846,0.0264408149876715,0.0261752252896017,0.0261751580775006,10.12387323285,0.922,0.9432,0.9428,0.9326,0.9334,0.9448,0.9448,0.9426,0.6917,0.9338,0.0484,0.0364,0.0364,0.042,0.0416,0.0244,0.0244,0.0368,0.0233,0.0424,0,0.154155428082117,0.153299984419968,0.153299774728721,3.1813440631032,"Method"
"554",1034,0.12,5,0,60,-0.0543624664742303,-0.0543743751303012,-0.0543696087442649,-0.0560490426822474,0.0177501775641524,0.0175548324102249,0.0175570581742509,1.03696835534053,0.9077,0.9335,0.9329,0.9218,0.9213,0.9315,0.9314,0.9322,0.8367,0.9215,0.0711,0.0525,0.0527,0.0594,0.0595,0.0473,0.0472,0.0532,0.0163,0.0613,0,0.1216403692897,0.120840655681989,0.120829299887839,1.01682360966898,"Method"
"555",1035,0.12,10,0,60,-0.0535638902581607,-0.0535484337060514,-0.0535408487597894,-0.0501903547698091,0.0100479393327029,0.00995651779189316,0.00995823582536512,0.297750494988532,0.8862,0.9154,0.9143,0.9063,0.9069,0.9123,0.9122,0.913,0.9073,0.9065,0.101,0.0752,0.0761,0.0823,0.0813,0.0755,0.0756,0.0772,0.0195,0.0827,0,0.0847323252944803,0.0842159282541233,0.0842009027191731,0.543379194827655,"Method"
"556",1036,0.12,30,0,60,-0.0525788049761279,-0.0525776564971595,-0.0525782227976616,-0.0513444949485489,0.0051532222532198,0.00512933917213268,0.00513058334169935,0.0842905463085883,0.7809,0.8173,0.8156,0.8052,0.8091,0.8098,0.81,0.8142,0.9227,0.8096,0.2159,0.1797,0.1814,0.1914,0.1875,0.1874,0.1874,0.1828,0.0273,0.1874,5.63434932599138,0.0488766857872285,0.0486451484136417,0.048632969536848,0.285766435034988,"Method"
"557",1037,0.12,50,0,60,-0.0523967787754866,-0.0523862844101578,-0.0523871891954091,-0.0530817793418634,0.00419288792039518,0.00417797028588514,0.00417914660445287,0.0503484270026449,0.6772,0.7252,0.7196,0.7131,0.719,0.7164,0.7163,0.7208,0.9231,0.7131,0.3212,0.2738,0.279,0.2855,0.2796,0.2824,0.2825,0.2778,0.0411,0.2853,6.44820108069764,0.0380474737055358,0.0378797109269233,0.0378654310773067,0.218026386602797,"Method"
"558",1038,0.12,100,0,60,-0.0528391518044691,-0.0528216942831367,-0.0528228321981507,-0.0539078292158981,0.00351712682876454,0.00350909142950928,0.00350997470605844,0.0266566885214846,0.448,0.4931,0.4874,0.4818,0.4897,0.4856,0.4856,0.4866,0.9127,0.4829,0.552,0.5069,0.5126,0.5182,0.5103,0.5144,0.5144,0.5134,0.0563,0.5171,7.41365466308954,0.0269299719214033,0.0268289970765377,0.0268147710369248,0.154120114753692,"Method"
"559",1039,0.12,3,0.005,60,-0.051690071182995,-0.0519463178884666,-0.0519435463573228,-0.0321675238936025,0.0289735838424785,0.0286109669748324,0.0286113120206039,12.1561051829501,0.909,0.9353,0.9349,0.9241,0.9238,0.9414,0.9414,0.9338,0.7013,0.9231,0.054,0.0391,0.0397,0.0451,0.0454,0.0294,0.0294,0.0396,0.0131,0.0457,0,0.162186160996114,0.160983761881711,0.160981795699133,3.48658659177753,"Method"
"560",1040,0.12,5,0.005,60,-0.0535984647326342,-0.0536885423840359,-0.053699957078012,-0.0428024898121303,0.0181188478466168,0.017943367830373,0.0179490969953278,1.11638874929961,0.9007,0.9292,0.929,0.9212,0.9222,0.9351,0.9351,0.9281,0.8451,0.9182,0.0763,0.0556,0.0558,0.0602,0.0598,0.0473,0.0473,0.0565,0.0149,0.0646,0,0.123481080261875,0.122747375927052,0.122729028711627,1.05577846302233,"Method"
"561",1041,0.12,10,0.005,60,-0.0514713160990283,-0.051536541024883,-0.0515307998633188,-0.0508816334115318,0.010245682643899,0.0101564234936527,0.0101586769352656,0.327611544026251,0.8837,0.9185,0.9178,0.9098,0.9101,0.9168,0.9166,0.9162,0.9035,0.9082,0.1007,0.0719,0.0726,0.0792,0.0789,0.071,0.0712,0.0738,0.0207,0.0814,6.38976197428457,0.0871616083922883,0.0866256544051029,0.086609229004178,0.570136044219726,"Method"
"562",1042,0.12,30,0.005,60,-0.0523911988608918,-0.0524153482522784,-0.0524105053598676,-0.051099460720154,0.00539295287634937,0.00536553514299552,0.00536682575517583,0.0903290515988802,0.7697,0.8191,0.817,0.8128,0.816,0.8215,0.8212,0.8165,0.9261,0.8096,0.2237,0.1765,0.1786,0.182,0.1786,0.1745,0.1748,0.1789,0.0291,0.1856,11.8055180146251,0.0514624134322078,0.0511881500522309,0.0511705799597116,0.296186882525083,"Method"
"563",1043,0.12,50,0.005,60,-0.0524963638215688,-0.0524909799284286,-0.05249014285292,-0.0520170208545138,0.00432974288067177,0.00431304068524443,0.0043139174720457,0.0538714414097601,0.6762,0.7366,0.7341,0.7312,0.7349,0.7342,0.7344,0.7346,0.9281,0.7285,0.3212,0.2616,0.2641,0.267,0.2635,0.2642,0.264,0.2636,0.0367,0.2697,13.1430227605021,0.0396740730123867,0.0394823791222346,0.0394701596240477,0.226209610825854,"Method"
"564",1044,0.12,100,0.005,60,-0.0531450665098657,-0.0531145668105133,-0.0531162975746606,-0.0572838314339611,0.0036005046265186,0.00358787358676804,0.00358876349638924,0.028280839344516,0.4527,0.5171,0.5123,0.5113,0.518,0.5147,0.5145,0.5117,0.9174,0.5068,0.5471,0.4829,0.4877,0.4887,0.482,0.4853,0.4855,0.4883,0.0528,0.4932,13.5938088149689,0.0278600816688612,0.027703775523693,0.0276910284858729,0.158119898150045,"Method"
"565",1045,0.12,3,0.022,60,-0.0514113444774137,-0.0514731558102998,-0.0514936474754839,-0.0889792071897136,0.0347522063184128,0.0343307827120412,0.0343337001039239,12.1511069790338,0.8754,0.9175,0.9174,0.9104,0.9109,0.9459,0.9459,0.9171,0.6883,0.903,0.0652,0.0447,0.0446,0.0462,0.0461,0.0213,0.0213,0.0447,0.0063,0.0514,0,0.17919902680137,0.178003575528371,0.178001307269101,3.48488222471487,"Method"
"566",1046,0.12,5,0.022,60,-0.0559116472849086,-0.0559594106371366,-0.0559583177651448,-0.0600951181493264,0.0219373371024617,0.0216059607136805,0.0216068081203063,1.42462072956928,0.866,0.9145,0.9136,0.9086,0.9102,0.9396,0.9397,0.9127,0.8413,0.8992,0.089,0.0601,0.0598,0.0626,0.0622,0.0396,0.0395,0.0615,0.0149,0.0698,15.8425998252637,0.137160876750482,0.135931315470181,0.135927748124126,1.19212055660745,"Method"
"567",1047,0.12,10,0.022,60,-0.0542810506501032,-0.0542391246961905,-0.0542444477971352,-0.0550064666983711,0.0125349989644835,0.0123543681805172,0.0123575176852551,0.41966906536626,0.8369,0.9001,0.8996,0.8991,0.8999,0.9181,0.9179,0.8983,0.9023,0.8876,0.1299,0.0805,0.0808,0.0803,0.0797,0.0651,0.0653,0.0821,0.0137,0.091,25.1567029293375,0.0979261224462103,0.0970360714804336,0.0970228162619282,0.645511442570827,"Method"
"568",1048,0.12,30,0.022,60,-0.0530810425177406,-0.053097897582116,-0.0530972290801946,-0.0511005589462109,0.00599299271775872,0.00592884364429374,0.00592969462608946,0.109679057891085,0.7452,0.8328,0.8316,0.8374,0.839,0.8467,0.8467,0.8314,0.9268,0.8203,0.244,0.1624,0.1632,0.1576,0.1562,0.1495,0.1495,0.1636,0.0276,0.1743,28.3620492514295,0.0563534667461547,0.0557735596774197,0.0557652929109335,0.327228511313319,"Method"
"569",1049,0.12,50,0.022,60,-0.0526750104363419,-0.0527237026691842,-0.052723462104459,-0.049164655643196,0.00466792683926328,0.00464050281859807,0.00464105756597168,0.0648735074841403,0.6552,0.7635,0.7618,0.7699,0.7743,0.7725,0.7724,0.7624,0.9257,0.7539,0.3402,0.2337,0.2352,0.2275,0.2231,0.2247,0.2246,0.2348,0.0331,0.2429,29.1599018065587,0.043513899626908,0.0431448752196265,0.0431381511594792,0.249925169558138,"Method"
"570",1050,0.12,100,0.022,60,-0.0525517011325674,-0.0525695494601178,-0.052569759440701,-0.0503561996793411,0.00372322222083325,0.0037066220757253,0.00370695127191499,0.0323497006699186,0.4657,0.5923,0.5884,0.5937,0.5976,0.5958,0.5957,0.5875,0.9263,0.5805,0.5333,0.4069,0.4108,0.4057,0.4018,0.4034,0.4035,0.4117,0.0437,0.4187,29.2029706798143,0.0310102739848559,0.0307158918291965,0.030710891572399,0.172675810457993,"Method"
"571",1051,0.12,3,1.676,60,-0.0526460182201099,-0.0543083090391413,-0.0542991776316481,0.440746744463552,0.611668238458418,0.597286518712891,0.597280011558424,1047.56540262877,0.2917,0.8097,0.8099,0.9064,0.9064,0.9471,0.9471,0.8109,0.6968,0.7446,0.0425,0.0245,0.0241,0.0126,0.0124,0.0085,0.0085,0.0229,0.0104,0.0278,94.5786119725573,0.780357309812039,0.770967606305186,0.77097118359819,32.3647322331773,"Method"
