"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","DL_I2","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","Bias_type"
"25",25,-0.12,3,0,60,-0.0937437352024742,-0.0929593627136897,-0.0929790819672802,-0.128031764720458,0.0291029243533411,0.0286234204427467,0.0286291460723049,4.34543634547533,0.8969,0.9215,0.9211,0.9071,0.9084,0.9285,0.9285,0.9204,0.6888,0.9076,0.0943,0.0715,0.0721,0.0843,0.0828,0.0555,0.0555,0.0726,0.0714,0.0848,0,0.142537953438537,0.141371973857359,0.141364690514229,2.08073957054071,"AltOut"
"26",26,-0.12,5,0,60,-0.0923894490643683,-0.09170313980834,-0.0917392748304099,-0.131652249866225,0.0206351513021506,0.0203024058556596,0.0203141564512526,0.445290242692244,0.8704,0.9033,0.9027,0.887,0.8885,0.8993,0.8992,0.9024,0.8383,0.8877,0.1236,0.0933,0.0941,0.108,0.1063,0.0919,0.092,0.0944,0.0641,0.1081,0,0.110002504784387,0.109083691861002,0.109060210057992,0.654217645642635,"AltOut"
"27",27,-0.12,10,0,60,-0.0936688185293443,-0.0930768492728145,-0.0931248824904031,-0.136671196778159,0.0149034240943675,0.0146879491737094,0.0147063857268575,0.143492167153712,0.7796,0.82,0.8167,0.7981,0.8033,0.7965,0.7964,0.8143,0.8753,0.8025,0.2194,0.1794,0.1827,0.2011,0.1961,0.2011,0.2012,0.1851,0.0803,0.1967,0,0.0782955270027548,0.0776836241594869,0.0776224956332763,0.353306713336028,"AltOut"
"28",28,-0.12,30,0,60,-0.0933281246235221,-0.0930167355260832,-0.0930727218877529,-0.137092794632366,0.0107175881136024,0.0106360979965756,0.0106506370799703,0.0520334385066442,0.4628,0.498,0.4909,0.4712,0.4812,0.4603,0.4599,0.4895,0.8487,0.4838,0.537,0.5018,0.5089,0.5286,0.5186,0.5393,0.5397,0.5103,0.1391,0.516,0,0.0448068078852088,0.0445904064885078,0.0445441727611925,0.182324788219737,"AltOut"
"29",29,-0.12,50,0,60,-0.0941471003167282,-0.0938802478417824,-0.0939587538694728,-0.138374491816338,0.0100896815572573,0.0100268091039125,0.0100452361505742,0.0392836883978878,0.2376,0.2615,0.2537,0.2368,0.2444,0.2298,0.2303,0.2524,0.7864,0.2493,0.7624,0.7385,0.7463,0.7632,0.7556,0.7702,0.7697,0.7476,0.2074,0.7507,0,0.035016105893951,0.0348871098389263,0.0348343151508564,0.141909133718311,"AltOut"
"30",30,-0.12,100,0,60,-0.094085805197134,-0.0938845396847736,-0.0939633352113323,-0.137136155789202,0.0094592075055236,0.00941655146763888,0.00943322971655611,0.028335069445565,0.0348,0.0388,0.0366,0.0335,0.0355,0.0306,0.0308,0.0363,0.6669,0.0362,0.9652,0.9612,0.9634,0.9665,0.9645,0.9694,0.9692,0.9637,0.3313,0.9638,0,0.0246399975421759,0.024580109249065,0.0245419010328803,0.0976201679502952,"AltOut"
"31",31,-0.12,3,0.005,60,-0.0932408673474103,-0.0921334918678069,-0.0921261927542962,-0.145496606603805,0.0306584746642867,0.0300953666817692,0.0300904439594724,3.45191679882886,0.8904,0.9194,0.9191,0.9058,0.9071,0.9292,0.9292,0.9183,0.6867,0.9055,0.1018,0.0744,0.0747,0.0854,0.0845,0.0536,0.0536,0.0755,0.0667,0.0873,0,0.148212050798137,0.146987649498116,0.146999820587439,1.85232034091303,"AltOut"
"32",32,-0.12,5,0.005,60,-0.0946479714800567,-0.0937228957557213,-0.0937164842233585,-0.142729211498628,0.0217178554045321,0.0213061524242111,0.0213142679273022,0.49841573694677,0.8585,0.895,0.8944,0.8795,0.8802,0.9022,0.9018,0.8935,0.8276,0.8807,0.1361,0.1022,0.103,0.1163,0.1156,0.0912,0.0916,0.1037,0.07,0.1159,0,0.112964122572352,0.111949728835285,0.111908103271082,0.691441912472466,"AltOut"
"33",33,-0.12,10,0.005,60,-0.0934062413976509,-0.0926311637587789,-0.0926799879112156,-0.145908607294381,0.0152765742715137,0.0150109142957874,0.015026290024205,0.159090124448787,0.7684,0.8165,0.8141,0.8006,0.8042,0.8124,0.8119,0.8113,0.88,0.7993,0.229,0.1817,0.1841,0.1974,0.1938,0.1846,0.1851,0.1869,0.0838,0.1989,0,0.0809475360331396,0.080233120345291,0.0801936711902605,0.371233867292067,"AltOut"
"34",34,-0.12,30,0.005,60,-0.0938352819948769,-0.0933610514335987,-0.0934265940322862,-0.139920398839617,0.0110390125606973,0.0109192935744748,0.010936067293329,0.0560590402437876,0.452,0.5033,0.4954,0.4788,0.49,0.486,0.4862,0.4927,0.8512,0.4833,0.5478,0.4967,0.5044,0.521,0.5098,0.5138,0.5138,0.5071,0.138,0.5165,0,0.0472670692049159,0.0469868023684847,0.0469385552875781,0.191010394296811,"AltOut"
"35",35,-0.12,50,0.005,60,-0.0942266168019589,-0.0937732949679758,-0.0938609144962915,-0.141962884768986,0.010209692616664,0.0101045048251014,0.0101245548334948,0.042100567819097,0.2424,0.2814,0.2727,0.2595,0.2694,0.2619,0.2626,0.2709,0.7918,0.2641,0.7576,0.7186,0.7273,0.7405,0.7306,0.7381,0.7374,0.7291,0.2026,0.7359,0,0.0364852082324159,0.0362603784442357,0.036210566088644,0.148152968574289,"AltOut"
"36",36,-0.12,100,0.005,60,-0.0941287866302989,-0.0937418715278943,-0.0938439515712292,-0.142589470457493,0.00951969554335504,0.00943850491385544,0.00945976670831915,0.0309826200252376,0.0384,0.0479,0.0453,0.0437,0.0473,0.0428,0.0426,0.0448,0.6645,0.0437,0.9616,0.9521,0.9547,0.9563,0.9527,0.9572,0.9574,0.9552,0.3331,0.9563,0.377485533218604,0.0256813750442828,0.025556697288452,0.025515319701253,0.103208178613434,"AltOut"
"37",37,-0.12,3,0.022,60,-0.0933224592700161,-0.0917460287290364,-0.0917453524225398,-0.141071876965767,0.0357051009078326,0.0349350254926303,0.0349443793911385,4.9568668535751,0.8627,0.9097,0.9095,0.8992,0.8988,0.9322,0.9322,0.9085,0.6855,0.8878,0.1169,0.0773,0.0775,0.0824,0.0826,0.05,0.05,0.0785,0.0633,0.0962,0,0.164312870389286,0.162879779844739,0.162850679272317,2.22203945172829,"AltOut"
"38",38,-0.12,5,0.022,60,-0.0963862799969914,-0.0949761569137628,-0.0949892810940878,-0.174209428053022,0.025338021119353,0.0246863142673133,0.0246916661422648,0.606913603236806,0.825,0.8823,0.8823,0.8755,0.8752,0.9115,0.9112,0.8812,0.8315,0.8634,0.1612,0.1095,0.1095,0.1141,0.1146,0.0775,0.0778,0.1102,0.0707,0.127,3.25761486938833,0.126685875608935,0.12518094761767,0.125169527546717,0.759356530654942,"AltOut"
"39",39,-0.12,10,0.022,60,-0.0941683388950952,-0.0928567832839051,-0.0928832519260275,-0.154953508579342,0.0173392605496978,0.0168941637793296,0.016901388098152,0.201884039988702,0.7369,0.8142,0.8122,0.8047,0.8075,0.8356,0.8352,0.8089,0.8719,0.7931,0.2567,0.1826,0.1846,0.1917,0.1885,0.1602,0.1606,0.1877,0.0817,0.2033,14.7581552748772,0.0920458132812706,0.0909665713408408,0.0909538830307936,0.421771548698561,"AltOut"
"40",40,-0.12,30,0.022,60,-0.0951246659335329,-0.0938101923057535,-0.0938664377741588,-0.161389227973033,0.0118795430622047,0.0115562617243637,0.0115698640308393,0.0734213511660448,0.4552,0.5668,0.5612,0.5567,0.5628,0.5782,0.578,0.5507,0.8409,0.5344,0.5444,0.433,0.4386,0.4431,0.437,0.4216,0.4218,0.4491,0.1495,0.4654,19.1407422105664,0.0532083086148115,0.0525283905484516,0.0524993824957735,0.217668569667132,"AltOut"
"41",41,-0.12,50,0.022,60,-0.0952063059780884,-0.0939521781233318,-0.0940159007678714,-0.159730960209263,0.0107454810882572,0.0104670608869745,0.0104809157206111,0.0526895526326542,0.2642,0.363,0.3556,0.3531,0.3602,0.3676,0.3679,0.3481,0.7977,0.3355,0.7358,0.637,0.6444,0.6469,0.6398,0.6324,0.6321,0.6519,0.1961,0.6645,20.7353026798649,0.0410049817841315,0.0405227137843715,0.0404995448637347,0.164858396244663,"AltOut"
"42",42,-0.12,100,0.022,60,-0.0949631554005819,-0.0937179433547966,-0.0937972098960476,-0.160222251306055,0.00983084503818531,0.00957617556958736,0.00959219785311091,0.038625828784371,0.0512,0.0932,0.0899,0.0876,0.0908,0.0913,0.0918,0.0845,0.6625,0.0802,0.9488,0.9068,0.9101,0.9124,0.9092,0.9087,0.9082,0.9155,0.3357,0.9198,21.0042415605965,0.0285118474865266,0.0281844053493807,0.0281638417679977,0.113824226622662,"AltOut"
"43",43,-0.12,3,1.676,60,-0.126231527763092,-0.0793163068829942,-0.0793772504217692,-1.05605771047977,0.616831409129986,0.579400064467533,0.579452003492845,98.8169756651502,0.281,0.8154,0.8161,0.9081,0.9088,0.949,0.949,0.8143,0.6747,0.7465,0.1354,0.0316,0.0311,0.0135,0.0136,0.007,0.007,0.0369,0.1263,0.0537,94.6135757919476,0.775214232479775,0.757105393235295,0.757077475929929,9.88491218606312,"AltOut"
"44",44,-0.12,5,1.676,60,-0.137913463747755,-0.0827467084515193,-0.0828227345759708,-1.14622402583533,0.388855790397501,0.353264109651238,0.353296757743251,13.9969658522531,0.2777,0.8735,0.8719,0.9424,0.9426,0.9477,0.9478,0.8695,0.8121,0.8233,0.1793,0.0351,0.0363,0.021,0.021,0.0187,0.0186,0.0455,0.1165,0.0615,95.5760139536998,0.608171566402126,0.5886185518318,0.588601509567707,3.56151720132424,"AltOut"
"45",45,-0.12,10,1.676,60,-0.142511283400358,-0.0811758757241349,-0.0812390405608216,-1.11940741573829,0.202612376684838,0.176747384522234,0.176779691344403,4.99854085098759,0.2607,0.9153,0.9144,0.9414,0.9428,0.9483,0.9484,0.9059,0.8369,0.8783,0.2587,0.0369,0.039,0.035,0.0324,0.0225,0.0224,0.0509,0.1351,0.0659,96.1039862662458,0.426990799552767,0.412549305327367,0.412522580243281,1.93541790650624,"AltOut"
"46",46,-0.12,30,1.676,60,-0.147178888257958,-0.0785005784664868,-0.078526319758183,-1.1439591620656,0.0846455872462259,0.0640883167779036,0.0641023281833966,2.32774163853357,0.2358,0.9305,0.9294,0.9123,0.9142,0.9426,0.9427,0.8988,0.7206,0.8781,0.425,0.0409,0.0436,0.0773,0.0746,0.0354,0.0353,0.0884,0.2736,0.1033,96.3615364867203,0.250978606904034,0.240710904328363,0.240690193267703,1.00955484950505,"AltOut"
"47",47,-0.12,50,1.676,60,-0.143622299340002,-0.0743747062761039,-0.0743849185507238,-1.12992787933787,0.0575115332937203,0.0398376321208172,0.0398452113677928,1.87117549231463,0.2143,0.9251,0.9239,0.889,0.8892,0.9317,0.9318,0.88,0.6088,0.8572,0.5227,0.0531,0.0553,0.1038,0.1026,0.0487,0.0486,0.1112,0.3892,0.1316,96.4138228331167,0.192062118106961,0.185244505485794,0.185228146170537,0.771036918443352,"AltOut"
